timestamp,ticker,prediction_probability,prediction_confidence,signal_status
2026-08-07T04:08:45.096737+00:00,CARS.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,LPKR.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,BBCA.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,NISP.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,EMDE.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,TBIG.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,BBRI.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,CFIN.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,ASSA.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,PANI.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,BBKP.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,JGLE.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,BOLT.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,BNII.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,AMRT.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,LINK.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,HEXA.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,RICY.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,BMTR.JK,0.6283,0.0500,GENERATED
2026-08-07T04:08:45.096737+00:00,INDF.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ANJT.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,TKIM.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,AUTO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BRPT.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,EKAD.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,INTD.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BBHI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CLEO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,GJTL.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,GGRM.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,PWON.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,OKAS.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,PNLF.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ADMG.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CMRY.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ECII.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,TCID.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SMGR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,IRRA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,IDPR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,JAST.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,EMTK.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BRAM.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CEKA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,IFII.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,EMDE.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CPIN.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,MIDI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BBNI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,IPOL.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SIMP.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,DGIK.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,INDY.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,PBID.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,MITI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,HEXA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CSIS.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,DOID.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,UNTR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,HOKI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ASII.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,MEDC.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,KINO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,AMRT.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BUVA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,PSSI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SQMI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SAME.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,HRUM.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CAMP.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SOCI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SCCO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ATIC.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BOBA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CLPI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CLAY.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,KDSI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BUDI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,KIJA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,MAIN.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,JKON.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,RIGS.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,EPAC.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,JAWA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,APIC.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,DEPO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,FPNI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,MDKA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SMKL.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,RICY.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,NELY.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CFIN.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BNLI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ITMG.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,IPCM.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,LINK.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ISAT.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,TPIA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BTON.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,NISP.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,DKFT.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,MNCN.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CITY.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,KBLM.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BMTR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,TBIG.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,FAST.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ACES.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,PTBA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BPFI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SIDO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CASH.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,MLPL.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,TRIM.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,AMAG.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ASSA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,UNVR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ALDO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BBCA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BJBR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ASRI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,GLVA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BJTM.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ARTA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BRMS.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,INCO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CITA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BYAN.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,AGRO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SRTG.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BBRI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,PEHA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,JGLE.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BKSL.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SAPX.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CENT.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ERAA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,AGII.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BRIS.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SMBR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BBKP.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,HMSP.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BTPS.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,TOTO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BNGA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,FMII.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,INPP.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BTPN.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,PJAA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,DILD.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,GPRA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ASJT.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ACST.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,GZCO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ULTJ.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ESSA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,MAPA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,LUCK.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SILO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BALI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,MAPB.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ADRO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ENRG.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,FORU.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,POLA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,STAA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ANTM.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,INTP.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BOLT.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,DYAN.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BMSR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,DIVA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,INAI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,STTP.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SCMA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CAKK.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CTRA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BPII.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,INCI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BISI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ADHI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CINT.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,TINS.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,UNIC.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,DVLA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,MCAS.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BBTN.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,PTIS.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,INDF.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SMSM.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,HERO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,MTDL.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SMRA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,AALI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BNII.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ICBP.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,GEMS.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,TALF.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,RDTX.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,PMJS.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ABMM.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,LPKR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ELSA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BMRI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CARS.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BSSR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,NATO.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,MYOR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,KMTR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,PDES.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,DNAR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CSAP.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BIPP.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,NFCX.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BNBA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,AKRA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,KLBF.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,IPCC.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BSDE.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,BPTR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,JPFA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,RAJA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ADMF.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,AKSI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,KBLI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,PANI.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,PGAS.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,DSSA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,TLKM.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,MLPT.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,ALKA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,PNBN.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,APLN.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,JSMR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,INKP.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,DLTA.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,SMDR.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,LPPF.JK,0.6283,0.0500,GENERATED
2026-08-07T10:11:58.053726+00:00,CMNP.JK,0.6283,0.0500,GENERATED
